variable1,variable2
S1.25,S3.25
S2.25,S3.25
S2.25,S1.25
S2.25,C
S2.25,F
S2.25,M
S2.25,N
S3.25,H1
F,T
C,T
T,H1
M,S3.25
M,N
M,T
M,B
M,H1
A,T
A,M
A,N
A,C
A,F
A,S2.25
A,S3.25
H2,T
H2,M
H2,N
H2,C
H2,F
H2,S2.25
H2,S3.25
